,out_prob.,out_observation,base_prob.,base_observation,total_observation
"1,1|0,1",0.6868135543337213,102680,0.31318644566627873,46822,149502
"1,1|1,0",0.6857332391774197,96135,0.3142667608225803,44058,140193
"1,2|0,2",0.7658984599225687,62711,0.23410154007743134,19168,81879
"1,2|1,1",0.7655645800009317,98594,0.23443541999906822,30192,128786
"2,1|1,1",0.6060889277760102,60958,0.3939110722239898,39618,100576
"2,1|2,0",0.5983238187780882,29556,0.40167618122191184,19842,49398
"2,2|1,2",0.7037992518579522,70931,0.2962007481420478,29852,100783
"2,2|2,1",0.6988360746156783,49414,0.30116392538432163,21295,70709
"3,1|2,1",0.4153103448275862,18066,0.5846896551724138,25434,43500
"3,1|3,0",0.41428342331747475,7750,0.5857165766825253,10957,18707
"3,2|2,2",0.5427912614183936,36722,0.45720873858160643,30932,67654
"3,2|3,1",0.53793172623625,16089,0.46206827376375004,13820,29909
