,X,H,total,actual,model,z_stats,diff
"(0, 0)",489889.0,237142.0,727031.0,0.6738213363666749,0.6738213363666751,2.855627386654176e-13,2.220446049250313e-16
"(0, 1)",263265.0,99370.0,362635.0,0.7259779116742731,0.7250701221347541,-0.8662179689640532,-0.0009077895395189772
"(1, 0)",176003.0,108926.0,284929.0,0.6177082711833475,0.6188636336057878,0.8976522282458356,0.001155362422440298
"(0, 2)",118264.0,30381.0,148645.0,0.7956137105183491,0.7948071330942009,-0.5448933107859387,-0.000806577424148136
"(1, 1)",198815.0,90880.0,289695.0,0.6862907540689346,0.6854135559494123,-0.7192354610040589,-0.0008771981195222489
"(2, 0)",49351.0,47718.0,97069.0,0.5084115423049583,0.5122646118786385,1.6980802187952042,0.0038530695736801457
"(1, 2)",161305.0,49360.0,210665.0,0.7656943488476966,0.7644341809107036,-0.9646873913699272,-0.0012601679369930174
"(2, 1)",90514.0,59460.0,149974.0,0.6035312787549842,0.6050097405742829,0.8279206055125632,0.001478461819298671
"(3, 0)",8536.0,21223.0,29759.0,0.2868375953493061,0.28830748498132075,0.3961279038578337,0.0014698896320146648
"(2, 2)",120345.0,51147.0,171492.0,0.7017528514449654,0.7011651441369413,-0.3760667847588428,-0.0005877073080240436
"(3, 1)",25816.0,36391.0,62207.0,0.4150015271593229,0.4166217162323797,0.5797571965047551,0.001620189073056777
"(3, 2)",52811.0,44752.0,97563.0,0.5413015179935017,0.5413015179935017,0.0,0.0
