,imp,avg_sp,imp_rank,avg_sp_rank
"(0, 0)",0.2039012071531634,91.78832515193535,12.0,10.0
"(0, 1)",0.2677716349634958,91.81724144502999,11.0,9.0
"(1, 0)",0.31147641962776673,91.69853457237693,10.0,12.0
"(0, 2)",0.8702418937655994,92.27709882069047,2.0,3.0
"(1, 1)",0.3344859541394989,91.78625092391692,9.0,11.0
"(2, 0)",0.4427901847754907,91.88556837158725,8.0,7.0
"(1, 2)",0.8570361793442356,92.18711717520337,3.0,4.0
"(2, 1)",0.4551616970778407,91.95595396898084,7.0,6.0
"(3, 0)",0.6332787541771943,91.86453465970787,6.0,8.0
"(2, 2)",0.8190423628993326,92.29113391582682,4.0,2.0
"(3, 1)",0.7794586959934997,92.06552014869604,5.0,5.0
"(3, 2)",1.0,92.40912597380819,1.0,1.0
