,"(0, 0)","(0, 1)","(1, 0)","(0, 2)","(1, 1)","(2, 0)","(1, 2)","(2, 1)","(3, 0)","(2, 2)","(3, 1)","(3, 2)",H,X
"(0, 0)",0.0,0.49878890996394926,0.39190763530028294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396764374558994,0.06962701727986839
"(0, 1)",0.0,0.0,0.0,0.4099025190618666,0.4122657768830918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06112758007362775,0.11670412398141382
"(1, 0)",0.0,0.0,0.0,0.0,0.49202783851415616,0.34067785307918813,0.0,0.0,0.0,0.0,0.0,0.0,0.060190433406216985,0.1071038750004387
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.5508358841535201,0.0,0.0,0.0,0.0,0.0,0.0754347606713983,0.37372935517508155
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.44455720671740967,0.34717892956385166,0.0,0.0,0.0,0.0,0.07273166606258306,0.13553219765615562
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088957339624391,0.3065757347865951,0.0,0.0,0.0,0.06853887440892562,0.1159896568420402
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47840410129826977,0.0,0.0,0.09260199843353191,0.42899390026819834
"(2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714750556763172,0.29005027538106604,0.0,0.08488804726152534,0.15358662168109138
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286165529755704,0.0,0.3449712691958735,0.026412177828556066
"(2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945023674573741,0.11787721876239125,0.48762041378023463
"(3, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807979809346215,0.3628369797611201,0.15636503930425835
"(3, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586984820064984,0.5413015179935017
H,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
